Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2020-01-02,120.15470123291016,120.16322572386841,118.59623976169809,119.04759596435694,10803700
2020-01-03,118.56909942626953,119.33190431938809,117.48917736531554,117.84915138563353,10386800
